Classification,Code,Type,Description
,H93299,,"Other abnormal auditory perceptions, unspecified ear"
,H933,,Disorders of acoustic nerve
,H933X1,,Disorders of right acoustic nerve
,H933X2,,Disorders of left acoustic nerve
,H933X3,,Disorders of bilateral acoustic nerves
,H933X9,,Disorders of unspecified acoustic nerve
,H938,,Other specified disorders of ear
,H938X1,,Other specified disorders of right ear
,H938X2,,Other specified disorders of left ear
,H938X3,,"Other specified disorders of ear, bilateral"
,H938X9,,"Other specified disorders of ear, unspecified ear"
,H939,,Unspecified disorder of ear
,H9390,,"Unspecified disorder of ear, unspecified ear"
,H9391,,Unspecified disorder of right ear
,H9392,,Unspecified disorder of left ear
,H9393,,"Unspecified disorder of ear, bilateral"
,H93A1,,"Pulsatile tinnitus, right ear"
,H93A2,,"Pulsatile tinnitus, left ear"
,H93A3,,"Pulsatile tinnitus, bilateral"
,H93A9,,"Pulsatile tinnitus, unspecified ear"
,H9400,,"Acustc neuritis in infec/parastc dis classd elswhr, unsp ear"
,H9401,,"Acustc neuritis in infec/parastc dis classd elswhr, r ear"
,H9402,,"Acustc neuritis in infec/parastc dis classd elswhr, left ear"
,H9403,,"Acustc neuritis in infec/parastc diseases classd elswhr, bi"
,H9480,,"Oth disrd of ear in diseases classified elsewhere, unsp ear"
,H9481,,Oth disrd of right ear in diseases classified elsewhere
,H9482,,Oth disrd of left ear in diseases classified elsewhere
,H9483,,"Oth disrd of ear in diseases classified elsewhere, bilateral"
