Classification,Code,Type,Description
,37749,,Other disorders of optic nerve
,37763,,Disorders of other visual pathways associated with inflammatory disorders
,3779,,Unspecified disorder of optic nerve and visual pathways
,37800,,"Esotropia, unspecified"
,37801,,Monocular esotropia
,37805,,Alternating esotropia
,37810,,"Exotropia, unspecified"
,37813,,Monocular exotropia with V pattern
,37815,,Alternating exotropia
,37821,,"Intermittent esotropia, monocular"
,37822,,"Intermittent esotropia, alternating"
,37823,,"Intermittent exotropia, monocular"
,37824,,"Intermittent exotropia, alternating"
,37831,,Hypertropia
,37832,,Hypotropia
,37840,,"Heterophoria, unspecified"
,37841,,Esophoria
,37842,,Exophoria
,37843,,Vertical heterophoria
,37853,,Fourth or trochlear nerve palsy
,37854,,Sixth or abducens nerve palsy
,37883,,Convergence insufficiency or palsy
,37884,,Convergence excess or spasm
,37885,,Anomalies of divergence
,37887,,Other dissociated deviation of eye movements
,3789,,Unspecified disorder of eye movements
,37921,,Vitreous degeneration
,37924,,Other vitreous opacities
,37929,,Other disorders of vitreous
,37931,,Aphakia
,37940,,"Abnormal pupillary function, unspecified"
,37941,,Anisocoria
,37943,,"Mydriasis (persistent), not due to mydriatics"
,37950,,"Nystagmus, unspecified"
,37957,,Deficiencies of saccadic eye movements
,37958,,Deficiencies of smooth pursuit movements
,37959,,Other irregularities of eye movements
,3798,,Other specified disorders of eye and adnexa
,37990,,"Disorder of eye, unspecified"
,37991,,Pain in or around eye
,37993,,Redness or discharge of eye
,E083541,,"Diabetes with prolif diabetic rtnop with comb detach, r eye"
,E083542,,"Diab with prolif diabetic rtnop with comb detach, left eye"
,E083543,,"Diabetes with prolif diabetic rtnop with combined detach, bi"
,E083549,,"Diabetes with prolif diabetic rtnop with comb detach, unsp"
,E093541,,"Drug/chem diab w prolif diab rtnop with comb detach, r eye"
,E093542,,"Drug/chem diab w prolif diab rtnop with comb detach, l eye"
,E093543,,"Drug/chem diab with prolif diab rtnop with comb detach, bi"
,E093549,,"Drug/chem diab with prolif diab rtnop with comb detach, unsp"
,E103541,,"Type 1 diab with prolif diab rtnop with comb detach, r eye"
,E103542,,"Type 1 diab with prolif diab rtnop with comb detach, l eye"
,E103543,,"Type 1 diab with prolif diabetic rtnop with comb detach, bi"
,E103549,,"Type 1 diab with prolif diab rtnop with comb detach, unsp"
,E113541,,"Type 2 diab with prolif diab rtnop with comb detach, r eye"
,E113542,,"Type 2 diab with prolif diab rtnop with comb detach, l eye"
,E113543,,"Type 2 diab with prolif diabetic rtnop with comb detach, bi"
,E113549,,"Type 2 diab with prolif diab rtnop with comb detach, unsp"
,E133541,,"Oth diab with prolif diabetic rtnop with comb detach, r eye"
,E133542,,"Oth diab with prolif diab rtnop with comb detach, left eye"
,E133543,,"Oth diabetes with prolif diabetic rtnop with comb detach, bi"
,E133549,,"Oth diab with prolif diabetic rtnop with comb detach, unsp"
,H000,,Hordeolum (externum) (internum) of eyelid
,H00011,,Hordeolum externum right upper eyelid
,H00012,,Hordeolum externum right lower eyelid
,H00013,,"Hordeolum externum right eye, unspecified eyelid"
,H00014,,Hordeolum externum left upper eyelid
,H00015,,Hordeolum externum left lower eyelid
,H00016,,"Hordeolum externum left eye, unspecified eyelid"
,H00019,,"Hordeolum externum unspecified eye, unspecified eyelid"
,H00021,,Hordeolum internum right upper eyelid
,H00022,,Hordeolum internum right lower eyelid
,H00023,,"Hordeolum internum right eye, unspecified eyelid"
,H00024,,Hordeolum internum left upper eyelid
,H00025,,Hordeolum internum left lower eyelid
,H00026,,"Hordeolum internum left eye, unspecified eyelid"
,H00029,,"Hordeolum internum unspecified eye, unspecified eyelid"
,H001,,Chalazion
,H0011,,Chalazion right upper eyelid
,H0012,,Chalazion right lower eyelid
,H0013,,"Chalazion right eye, unspecified eyelid"
,H0014,,Chalazion left upper eyelid
,H0015,,Chalazion left lower eyelid
,H0016,,"Chalazion left eye, unspecified eyelid"
,H0019,,"Chalazion unspecified eye, unspecified eyelid"
,H010,,Blepharitis
,H01001,,Unspecified blepharitis right upper eyelid
,H01002,,Unspecified blepharitis right lower eyelid
,H01003,,"Unspecified blepharitis right eye, unspecified eyelid"
,H01004,,Unspecified blepharitis left upper eyelid
,H01005,,Unspecified blepharitis left lower eyelid
,H01006,,"Unspecified blepharitis left eye, unspecified eyelid"
,H01009,,"Unspecified blepharitis unspecified eye, unspecified eyelid"
,H011,,Noninfectious dermatoses of eyelid
,H01111,,Allergic dermatitis of right upper eyelid
,H01112,,Allergic dermatitis of right lower eyelid
,H01113,,"Allergic dermatitis of right eye, unspecified eyelid"
,H01114,,Allergic dermatitis of left upper eyelid
,H01115,,Allergic dermatitis of left lower eyelid
,H01116,,"Allergic dermatitis of left eye, unspecified eyelid"
,H01119,,"Allergic dermatitis of unspecified eye, unspecified eyelid"
,H019,,Unspecified inflammation of eyelid
,H021,,Ectropion of eyelid
,H02101,,Unspecified ectropion of right upper eyelid
,H02102,,Unspecified ectropion of right lower eyelid
,H02103,,"Unspecified ectropion of right eye, unspecified eyelid"
,H02104,,Unspecified ectropion of left upper eyelid
,H02105,,Unspecified ectropion of left lower eyelid
,H02106,,"Unspecified ectropion of left eye, unspecified eyelid"
,H02109,,"Unspecified ectropion of unspecified eye, unspecified eyelid"
,H022,,Lagophthalmos
,H02201,,Unspecified lagophthalmos right upper eyelid
,H02202,,Unspecified lagophthalmos right lower eyelid
,H02203,,"Unspecified lagophthalmos right eye, unspecified eyelid"
,H02204,,Unspecified lagophthalmos left upper eyelid
,H02205,,Unspecified lagophthalmos left lower eyelid
,H02206,,"Unspecified lagophthalmos left eye, unspecified eyelid"
,H02209,,"Unsp lagophthalmos unspecified eye, unspecified eyelid"
,H024,,Ptosis of eyelid
,H02401,,Unspecified ptosis of right eyelid
,H02402,,Unspecified ptosis of left eyelid
,H02403,,Unspecified ptosis of bilateral eyelids
,H02409,,Unspecified ptosis of unspecified eyelid
,H02411,,Mechanical ptosis of right eyelid
,H02412,,Mechanical ptosis of left eyelid
,H02413,,Mechanical ptosis of bilateral eyelids
,H02419,,Mechanical ptosis of unspecified eyelid
,H025,,Other disorders affecting eyelid function
,H02531,,Eyelid retraction right upper eyelid
,H02532,,Eyelid retraction right lower eyelid
,H02533,,"Eyelid retraction right eye, unspecified eyelid"
,H02534,,Eyelid retraction left upper eyelid
,H02535,,Eyelid retraction left lower eyelid
,H02536,,"Eyelid retraction left eye, unspecified eyelid"
,H02539,,"Eyelid retraction unspecified eye, unspecified lid"
,H028,,Other specified disorders of eyelid
,H02811,,Retained foreign body in right upper eyelid
,H02812,,Retained foreign body in right lower eyelid
,H02813,,"Retained foreign body in right eye, unspecified eyelid"
,H02814,,Retained foreign body in left upper eyelid
,H02815,,Retained foreign body in left lower eyelid
,H02816,,"Retained foreign body in left eye, unspecified eyelid"
,H02819,,"Retained foreign body in unspecified eye, unspecified eyelid"
,H02821,,Cysts of right upper eyelid
,H02822,,Cysts of right lower eyelid
,H02823,,"Cysts of right eye, unspecified eyelid"
,H02824,,Cysts of left upper eyelid
,H02825,,Cysts of left lower eyelid
,H02826,,"Cysts of left eye, unspecified eyelid"
,H02829,,"Cysts of unspecified eye, unspecified eyelid"
,H02831,,Dermatochalasis of right upper eyelid
,H02832,,Dermatochalasis of right lower eyelid
,H02833,,"Dermatochalasis of right eye, unspecified eyelid"
,H02834,,Dermatochalasis of left upper eyelid
,H02835,,Dermatochalasis of left lower eyelid
,H02836,,"Dermatochalasis of left eye, unspecified eyelid"
,H02839,,"Dermatochalasis of unspecified eye, unspecified eyelid"
,H041,,Other disorders of lacrimal gland
,H04121,,Dry eye syndrome of right lacrimal gland
,H04122,,Dry eye syndrome of left lacrimal gland
,H04123,,Dry eye syndrome of bilateral lacrimal glands
,H04129,,Dry eye syndrome of unspecified lacrimal gland
,H042,,Epiphora
,H04201,,"Unspecified epiphora, right side"
,H04202,,"Unspecified epiphora, left side"
,H04203,,"Unspecified epiphora, bilateral"
,H04209,,"Unspecified epiphora, unspecified side"
,H04221,,"Epiphora due to insufficient drainage, right side"
,H04222,,"Epiphora due to insufficient drainage, left side"
,H04223,,"Epiphora due to insufficient drainage, bilateral"
,H04229,,"Epiphora due to insufficient drainage, unspecified side"
,H055,,Retained (old) fb following penetrating wound of orbit
,H0550,,Retained (old) fb following penetrating wound of unsp orbit
,H0551,,Retained (old) fb following penetrating wound of right orbit
,H0552,,Retained (old) fb following penetrating wound of left orbit
,H0553,,Retained (old) fb following penetrating wound of bi orbit
,H058,,Other disorders of orbit
,H0589,,Other disorders of orbit
,H100,,Mucopurulent conjunctivitis
,H10021,,"Other mucopurulent conjunctivitis, right eye"
,H10022,,"Other mucopurulent conjunctivitis, left eye"
,H10023,,"Other mucopurulent conjunctivitis, bilateral"
,H10029,,"Other mucopurulent conjunctivitis, unspecified eye"
,H101,,Acute atopic conjunctivitis
,H1010,,"Acute atopic conjunctivitis, unspecified eye"
,H1011,,"Acute atopic conjunctivitis, right eye"
,H1012,,"Acute atopic conjunctivitis, left eye"
,H1013,,"Acute atopic conjunctivitis, bilateral"
,H10211,,"Acute toxic conjunctivitis, right eye"
,H10212,,"Acute toxic conjunctivitis, left eye"
,H10213,,"Acute toxic conjunctivitis, bilateral"
,H10219,,"Acute toxic conjunctivitis, unspecified eye"
,H103,,Unspecified acute conjunctivitis
,H1030,,"Unspecified acute conjunctivitis, unspecified eye"
,H1031,,"Unspecified acute conjunctivitis, right eye"
,H1032,,"Unspecified acute conjunctivitis, left eye"
,H1033,,"Unspecified acute conjunctivitis, bilateral"
,H104,,Chronic conjunctivitis
,H10401,,"Unspecified chronic conjunctivitis, right eye"
,H10402,,"Unspecified chronic conjunctivitis, left eye"
,H10403,,"Unspecified chronic conjunctivitis, bilateral"
,H10409,,"Unspecified chronic conjunctivitis, unspecified eye"
,H10411,,"Chronic giant papillary conjunctivitis, right eye"
,H10412,,"Chronic giant papillary conjunctivitis, left eye"
,H10413,,"Chronic giant papillary conjunctivitis, bilateral"
,H10419,,"Chronic giant papillary conjunctivitis, unspecified eye"
,H1045,,Other chronic allergic conjunctivitis
,H109,,Unspecified conjunctivitis
,H110,,Pterygium of eye
,H11001,,Unspecified pterygium of right eye
,H11002,,Unspecified pterygium of left eye
,H11003,,"Unspecified pterygium of eye, bilateral"
,H11009,,Unspecified pterygium of unspecified eye
,H11011,,Amyloid pterygium of right eye
,H11012,,Amyloid pterygium of left eye
,H11013,,"Amyloid pterygium of eye, bilateral"
,H11019,,Amyloid pterygium of unspecified eye
,H111,,Conjunctival degenerations and deposits
,H11151,,"Pinguecula, right eye"
,H11152,,"Pinguecula, left eye"
,H11153,,"Pinguecula, bilateral"
,H11159,,"Pinguecula, unspecified eye"
,H112,,Conjunctival scars
,H11211,,"Conjunctival adhesions and strands (localized), right eye"
,H11212,,"Conjunctival adhesions and strands (localized), left eye"
,H11213,,"Conjunctival adhesions and strands (localized), bilateral"
,H11219,,"Conjunctival adhesions and strands (localized), unsp eye"
,H113,,Conjunctival hemorrhage
,H1130,,"Conjunctival hemorrhage, unspecified eye"
,H1131,,"Conjunctival hemorrhage, right eye"
,H1132,,"Conjunctival hemorrhage, left eye"
,H1133,,"Conjunctival hemorrhage, bilateral"
,H114,,Other conjunctival vascular disorders and cysts
,H11421,,"Conjunctival edema, right eye"
,H11422,,"Conjunctival edema, left eye"
,H11423,,"Conjunctival edema, bilateral"
,H11429,,"Conjunctival edema, unspecified eye"
,H119,,Unspecified disorder of conjunctiva
,H160,,Corneal ulcer
,H16001,,"Unspecified corneal ulcer, right eye"
,H16002,,"Unspecified corneal ulcer, left eye"
,H16003,,"Unspecified corneal ulcer, bilateral"
,H16009,,"Unspecified corneal ulcer, unspecified eye"
,H16011,,"Central corneal ulcer, right eye"
,H16012,,"Central corneal ulcer, left eye"
,H16013,,"Central corneal ulcer, bilateral"
,H16019,,"Central corneal ulcer, unspecified eye"
,H161,,Other and unsp superficial keratitis without conjunctivitis
,H16101,,"Unspecified superficial keratitis, right eye"
,H16102,,"Unspecified superficial keratitis, left eye"
,H16103,,"Unspecified superficial keratitis, bilateral"
,H16109,,"Unspecified superficial keratitis, unspecified eye"
,H16141,,"Punctate keratitis, right eye"
,H16142,,"Punctate keratitis, left eye"
,H16143,,"Punctate keratitis, bilateral"
,H16149,,"Punctate keratitis, unspecified eye"
,H162,,Keratoconjunctivitis
,H16211,,"Exposure keratoconjunctivitis, right eye"
,H16212,,"Exposure keratoconjunctivitis, left eye"
,H16213,,"Exposure keratoconjunctivitis, bilateral"
,H16219,,"Exposure keratoconjunctivitis, unspecified eye"
,H164,,Corneal neovascularization
,H16401,,"Unspecified corneal neovascularization, right eye"
,H16402,,"Unspecified corneal neovascularization, left eye"
,H16403,,"Unspecified corneal neovascularization, bilateral"
,H16409,,"Unspecified corneal neovascularization, unspecified eye"
,H169,,Unspecified keratitis
,H178,,Other corneal scars and opacities
,H17821,,"Peripheral opacity of cornea, right eye"
,H17822,,"Peripheral opacity of cornea, left eye"
,H17823,,"Peripheral opacity of cornea, bilateral"
,H17829,,"Peripheral opacity of cornea, unspecified eye"
,H1789,,Other corneal scars and opacities
,H179,,Unspecified corneal scar and opacity
,H182,,Other and unspecified corneal edema
,H1820,,Unspecified corneal edema
,H184,,Corneal degeneration
,H18411,,"Arcus senilis, right eye"
,H18412,,"Arcus senilis, left eye"
,H18413,,"Arcus senilis, bilateral"
,H18419,,"Arcus senilis, unspecified eye"
,H185,,Hereditary corneal dystrophies
,H1851,,Endothelial corneal dystrophy
,H186,,Keratoconus
,H18601,,"Keratoconus, unspecified, right eye"
,H18602,,"Keratoconus, unspecified, left eye"
,H18603,,"Keratoconus, unspecified, bilateral"
,H18609,,"Keratoconus, unspecified, unspecified eye"
,H188,,Other specified disorders of cornea
,H18831,,"Recurrent erosion of cornea, right eye"
,H18832,,"Recurrent erosion of cornea, left eye"
,H18833,,"Recurrent erosion of cornea, bilateral"
,H18839,,"Recurrent erosion of cornea, unspecified eye"
,H18891,,"Other specified disorders of cornea, right eye"
,H18892,,"Other specified disorders of cornea, left eye"
,H18893,,"Other specified disorders of cornea, bilateral"
,H18899,,"Other specified disorders of cornea, unspecified eye"
,H200,,Acute and subacute iridocyclitis
,H2000,,Unspecified acute and subacute iridocyclitis
,H201,,Chronic iridocyclitis
,H2010,,"Chronic iridocyclitis, unspecified eye"
,H2011,,"Chronic iridocyclitis, right eye"
,H2012,,"Chronic iridocyclitis, left eye"
,H2013,,"Chronic iridocyclitis, bilateral"
,H210,,Hyphema
,H2100,,"Hyphema, unspecified eye"
,H2101,,"Hyphema, right eye"
,H2102,,"Hyphema, left eye"
,H2103,,"Hyphema, bilateral"
,H212,,Degeneration of iris and ciliary body
,H21231,,"Degeneration of iris (pigmentary), right eye"
,H21232,,"Degeneration of iris (pigmentary), left eye"
,H21233,,"Degeneration of iris (pigmentary), bilateral"
,H21239,,"Degeneration of iris (pigmentary), unspecified eye"
,H21261,,"Iris atrophy (essential) (progressive), right eye"
,H21262,,"Iris atrophy (essential) (progressive), left eye"
,H21263,,"Iris atrophy (essential) (progressive), bilateral"
,H21269,,"Iris atrophy (essential) (progressive), unspecified eye"
,H215,,Oth and unsp adhes and disruptions of iris and ciliary body
,H21531,,"Iridodialysis, right eye"
,H21532,,"Iridodialysis, left eye"
,H21533,,"Iridodialysis, bilateral"
,H21539,,"Iridodialysis, unspecified eye"
,H21561,,"Pupillary abnormality, right eye"
,H21562,,"Pupillary abnormality, left eye"
,H21563,,"Pupillary abnormality, bilateral"
,H21569,,"Pupillary abnormality, unspecified eye"
,H250,,Age-related incipient cataract
,H25091,,"Other age-related incipient cataract, right eye"
,H25092,,"Other age-related incipient cataract, left eye"
,H25093,,"Other age-related incipient cataract, bilateral"
,H25099,,"Other age-related incipient cataract, unspecified eye"
,H251,,Age-related nuclear cataract
,H2510,,"Age-related nuclear cataract, unspecified eye"
,H2511,,"Age-related nuclear cataract, right eye"
,H2512,,"Age-related nuclear cataract, left eye"
,H2513,,"Age-related nuclear cataract, bilateral"
,H260,,Infantile and juvenile cataract
,H26031,,"Infantile and juvenile nuclear cataract, right eye"
,H26032,,"Infantile and juvenile nuclear cataract, left eye"
,H26033,,"Infantile and juvenile nuclear cataract, bilateral"
,H26039,,"Infantile and juvenile nuclear cataract, unspecified eye"
,H26051,,"Post subcapsular polar infantile and juv cataract, r eye"
,H26052,,"Post subcapsular polar infantile and juv cataract, left eye"
,H26053,,"Post subcapsular polar infantile and juvenile cataract, bi"
,H26059,,"Post subcapsular polar infantile and juv cataract, unsp eye"
,H261,,Traumatic cataract
,H26101,,"Unspecified traumatic cataract, right eye"
,H26102,,"Unspecified traumatic cataract, left eye"
,H26103,,"Unspecified traumatic cataract, bilateral"
,H26109,,"Unspecified traumatic cataract, unspecified eye"
,H269,,Unspecified cataract
,H270,,Aphakia
,H2700,,"Aphakia, unspecified eye"
,H2701,,"Aphakia, right eye"
,H2702,,"Aphakia, left eye"
,H2703,,"Aphakia, bilateral"
,H30891,,"Other chorioretinal inflammations, right eye"
,H30892,,"Other chorioretinal inflammations, left eye"
,H30893,,"Other chorioretinal inflammations, bilateral"
,H30899,,"Other chorioretinal inflammations, unspecified eye"
,H309,,Unspecified chorioretinal inflammation
,H3090,,"Unspecified chorioretinal inflammation, unspecified eye"
,H3091,,"Unspecified chorioretinal inflammation, right eye"
,H3092,,"Unspecified chorioretinal inflammation, left eye"
,H3093,,"Unspecified chorioretinal inflammation, bilateral"
,H310,,Chorioretinal scars
,H31001,,"Unspecified chorioretinal scars, right eye"
,H31002,,"Unspecified chorioretinal scars, left eye"
,H31003,,"Unspecified chorioretinal scars, bilateral"
,H31009,,"Unspecified chorioretinal scars, unspecified eye"
,H31011,,"Macula scars of posterior pole (post-traumatic), right eye"
,H31012,,"Macula scars of posterior pole (post-traumatic), left eye"
,H31013,,"Macula scars of posterior pole (post-traumatic), bilateral"
,H31019,,"Macula scars of posterior pole (post-traumatic), unsp eye"
,H31091,,"Other chorioretinal scars, right eye"
,H31092,,"Other chorioretinal scars, left eye"
,H31093,,"Other chorioretinal scars, bilateral"
,H31099,,"Other chorioretinal scars, unspecified eye"
,H330,,Retinal detachment with retinal break
,H33001,,"Unspecified retinal detachment with retinal break, right eye"
,H33002,,"Unspecified retinal detachment with retinal break, left eye"
,H33003,,"Unspecified retinal detachment with retinal break, bilateral"
,H33009,,"Unsp retinal detachment with retinal break, unspecified eye"
,H331,,Retinoschisis and retinal cysts
,H33101,,"Unspecified retinoschisis, right eye"
,H33102,,"Unspecified retinoschisis, left eye"
,H33103,,"Unspecified retinoschisis, bilateral"
,H33109,,"Unspecified retinoschisis, unspecified eye"
,H33191,,"Other retinoschisis and retinal cysts, right eye"
,H33192,,"Other retinoschisis and retinal cysts, left eye"
,H33193,,"Other retinoschisis and retinal cysts, bilateral"
,H332,,Serous retinal detachment
,H333,,Retinal breaks without detachment
,H33301,,"Unspecified retinal break, right eye"
,H33302,,"Unspecified retinal break, left eye"
,H33303,,"Unspecified retinal break, bilateral"
,H33309,,"Unspecified retinal break, unspecified eye"
,H33311,,"Horseshoe tear of retina without detachment, right eye"
,H33312,,"Horseshoe tear of retina without detachment, left eye"
,H33313,,"Horseshoe tear of retina without detachment, bilateral"
,H33319,,"Horseshoe tear of retina without detachment, unspecified eye"
,H33321,,"Round hole, right eye"
,H33322,,"Round hole, left eye"
,H33323,,"Round hole, bilateral"
,H33329,,"Round hole, unspecified eye"
,H350,,Background retinopathy and retinal vascular changes
,H35011,,"Changes in retinal vascular appearance, right eye"
,H35012,,"Changes in retinal vascular appearance, left eye"
,H35013,,"Changes in retinal vascular appearance, bilateral"
,H35019,,"Changes in retinal vascular appearance, unspecified eye"
,H35031,,"Hypertensive retinopathy, right eye"
,H35032,,"Hypertensive retinopathy, left eye"
,H35033,,"Hypertensive retinopathy, bilateral"
,H35039,,"Hypertensive retinopathy, unspecified eye"
,H35051,,"Retinal neovascularization, unspecified, right eye"
,H35052,,"Retinal neovascularization, unspecified, left eye"
,H35053,,"Retinal neovascularization, unspecified, bilateral"
,H35059,,"Retinal neovascularization, unspecified, unspecified eye"
,H3509,,Other intraretinal microvascular abnormalities
,H353,,Degeneration of macula and posterior pole
,H3530,,Unspecified macular degeneration
,H353110,,"Nexdtve age-related mclr degn, right eye, stage unspecified"
,H353111,,"Nexdtve age-related mclr degn, right eye, early dry stage"
,H353112,,"Nexdtve age-related mclr degn, right eye, intermed dry stage"
,H353113,,"Nexdtve age-rel mclr degn, r eye, adv atrpc w/o sbfvl invl"
,H353114,,"Nexdtve age-rel mclr degn, r eye, adv atrpc with sbfvl invl"
,H353120,,"Nexdtve age-related mclr degn, left eye, stage unspecified"
,H353121,,"Nexdtve age-related mclr degn, left eye, early dry stage"
,H353122,,"Nexdtve age-related mclr degn, left eye, intermed dry stage"
,H353123,,"Nexdtve age-rel mclr degn, l eye, adv atrpc w/o sbfvl invl"
,H353124,,"Nexdtve age-rel mclr degn, l eye, adv atrpc with sbfvl invl"
,H353130,,"Nexdtve age-related mclr degn, bilateral, stage unspecified"
,H353131,,"Nexdtve age-related mclr degn, bilateral, early dry stage"
,H353132,,"Nexdtve age-related mclr degn, bilateral, intermed dry stage"
,H353133,,"Nexdtve age-rel mclr degn, bi, adv atrpc without sbfvl invl"
,H353134,,"Nexdtve age-rel mclr degn, bi, adv atrpc with subfoveal invl"
,H353190,,"Nonexudative age-related mclr degn, unsp, stage unspecified"
,H353191,,"Nonexudative age-related mclr degn, unsp, early dry stage"
,H353192,,"Nonexudative age-related mclr degn, unsp, intermed dry stage"
,H353193,,"Nexdtve age-rel mclr degn, unsp, adv atrpc w/o sbfvl invl"
,H353194,,"Nexdtve age-rel mclr degn, unsp, adv atrpc with sbfvl invl"
,H35341,,"Macular cyst, hole, or pseudohole, right eye"
,H35342,,"Macular cyst, hole, or pseudohole, left eye"
,H35343,,"Macular cyst, hole, or pseudohole, bilateral"
,H35349,,"Macular cyst, hole, or pseudohole, unspecified eye"
,H35351,,"Cystoid macular degeneration, right eye"
,H35352,,"Cystoid macular degeneration, left eye"
,H35353,,"Cystoid macular degeneration, bilateral"
,H35359,,"Cystoid macular degeneration, unspecified eye"
,H35361,,"Drusen (degenerative) of macula, right eye"
,H35362,,"Drusen (degenerative) of macula, left eye"
,H35363,,"Drusen (degenerative) of macula, bilateral"
,H35369,,"Drusen (degenerative) of macula, unspecified eye"
,H35371,,"Puckering of macula, right eye"
,H35372,,"Puckering of macula, left eye"
,H35373,,"Puckering of macula, bilateral"
,H35379,,"Puckering of macula, unspecified eye"
,H354,,Peripheral retinal degeneration
