Code,Type,Classification,Description
80072,ICD9,mod_sev,open fracture of vault of skull with subarachnoid subdural and extradural hemorrhage w/brief (<1 hr) LOC
80073,ICD9,mod_sev,open fracture of vault of skull with subarachnoid subdural and extradural hemorrhage w/moderate (1-24 hrs) LOC
80074,ICD9,mod_sev,open fracture of vault of skull with subarachnoid subdural and extradural hemorrhage w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
80075,ICD9,mod_sev,open fracture of vault of skull with subarachnoid subdural and extradural hemorrhage w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
80076,ICD9,mod_sev,open fracture of vault of skull with subarachnoid subdural and extradural hemorrhage w/LOC of unspecified duration
80079,ICD9,mod_sev,open fracture of vault of skull with subarachnoid subdural and extradural hemorrhage w/concussion unspecified
8008,ICD9,,open fracture of vault of skull with other and unspecified intracranial hemorrhage
80080,ICD9,mod_sev,open fracture of vault of skull with other and unspecified intracranial hemorrhage w/state of consciousness unspecified
80081,ICD9,mod_sev,open fracture of vault of skull with other and unspecified intracranial hemorrhage w/o LOC
80082,ICD9,mod_sev,open fracture of vault of skull with other and unspecified intracranial hemorrhage w/brief (<1 hr) LOC
80083,ICD9,mod_sev,open fracture of vault of skull with other and unspecified intracranial hemorrhage w/moderate (1-24 hrs) LOC
80084,ICD9,mod_sev,open fracture of vault of skull with other and unspecified intracranial hemorrhage w/prolonged (>24  hrs) LOC and return to pre-existing conscious level
80085,ICD9,mod_sev,open fracture of vault of skull with other and unspecified intracranial hemorrhage w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
80086,ICD9,mod_sev,open fracture of vault of skull with other and unspecified intracranial hemorrhage w/LOC of unspecified duration
80089,ICD9,mod_sev,open fracture of vault of skull with other and unspecified intracranial hemorrhage w/concussion unspecified
8009,ICD9,,open fracture of vault of skull with intracranial injury of other and unspecified nature
80090,ICD9,Mild,open fracture of vault of skull with intracranial injury of other and unspecified nature w/state of consciousness unspecified
80091,ICD9,Mild,open fracture of vault of skull with intracranial injury of other and unspecified nature w/o LOC
80092,ICD9,Mild,open fracture of vault of skull with intracranial injury of other and unspecified nature w/brief (<1 hr) LOC
80093,ICD9,mod_sev,open fracture of vault of skull with intracranial injury of other and unspecified nature w/moderate (1-24 hrs) LOC
80094,ICD9,mod_sev,open fracture of vault of skull with intracranial injury of other and unspecified nature w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
80095,ICD9,mod_sev,open fracture of vault of skull with intracranial injury of other and unspecified nature w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
80096,ICD9,Mild,open fracture of vault of skull with intracranial injury of other and unspecified nature w/LOC of unspecified duration
80099,ICD9,Mild,open fracture of vault of skull with intracranial injury of other and unspecified nature w/concussion unspecified
8010,ICD9,,closed fracture of base of skull w/o mention of intracranial injury
80100,ICD9,,closed fracture of base of skull w/o mention of intracranial injury w/state of consciousness unspecified
80101,ICD9,,closed fracture of base of skull w/o mention of intracranial injury w/o LOC
80102,ICD9,Mild,closed fracture of base of skull w/o mention of intracranial injury w/brief (<1 hr) LOC
80103,ICD9,mod_sev,closed fracture of base of skull w/o mention of intracranial injury w/moderate (1-24 hrs) LOC
80104,ICD9,mod_sev,closed fracture of base of skull w/o mention of intracranial injury w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
80105,ICD9,mod_sev,closed fracture of base of skull w/o mention of intracranial injury w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
80106,ICD9,Mild,closed fracture of base of skull w/o mention of intracranial injury w/LOC of unspecified duration
80109,ICD9,Mild,closed fracture of base of skull w/o mention of intracranial injury w/concussion unspecified
8011,ICD9,,closed rracture of base of skull with cerebral laceration and contusion
80110,ICD9,mod_sev,closed rracture of base of skull with cerebral laceration and contusion w/state of consciousness unspecified
80111,ICD9,mod_sev,closed rracture of base of skull with cerebral laceration and contusion w/o LOC
80112,ICD9,mod_sev,closed rracture of base of skull with cerebral laceration and contusion w/brief (<1 hr) LOC
80113,ICD9,mod_sev,closed rracture of base of skull with cerebral laceration and contusion w/moderate (1-24 hrs) LOC
80114,ICD9,mod_sev,closed rracture of base of skull with cerebral laceration and contusion w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
80115,ICD9,mod_sev,closed rracture of base of skull with cerebral laceration and contusion w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
80116,ICD9,mod_sev,closed rracture of base of skull with cerebral laceration and contusion w/LOC of unspecified duration
80119,ICD9,mod_sev,closed rracture of base of skull with cerebral laceration and contusion w/concussion unspecified
8012,ICD9,,closed fracture of base of skull with subarachnoid subdural and extradural hemorrhage
80120,ICD9,mod_sev,closed fracture of base of skull with subarachnoid subdural and extradural hemorrhage w/state of consciousness unspecified
80121,ICD9,mod_sev,closed fracture of base of skull with subarachnoid subdural and extradural hemorrhage w/o LOC
80122,ICD9,mod_sev,closed fracture of base of skull with subarachnoid subdural and extradural hemorrhage w/brief (<1 hr) LOC
80123,ICD9,mod_sev,closed fracture of base of skull with subarachnoid subdural and extradural hemorrhage w/moderate (1-24 hrs) LOC
80124,ICD9,mod_sev,closed fracture of base of skull with subarachnoid subdural and extradural hemorrhage w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
80125,ICD9,mod_sev,closed fracture of base of skull with subarachnoid subdural and extradural hemorrhage w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
80126,ICD9,mod_sev,closed fracture of base of skull with subarachnoid subdural and extradural hemorrhage w/LOC of unspecified duration
80129,ICD9,mod_sev,closed fracture of base of skull with subarachnoid subdural and extradural hemorrhage w/concussion unspecified
8013,ICD9,,closed fracture of base of skull with other and unspecified intracranial hemorrhage
80130,ICD9,mod_sev,closed fracture of base of skull with other and unspecified intracranial hemorrhage w/state of consciousness unspecified
80131,ICD9,mod_sev,closed fracture of base of skull with other and unspecified intracranial hemorrhage w/o LOC
80132,ICD9,mod_sev,closed fracture of base of skull with other and unspecified intracranial hemorrhage w/brief (<1 hr) LOC
80133,ICD9,mod_sev,closed fracture of base of skull with other and unspecified intracranial hemorrhage w/moderate (1-24 hrs) LOC
80134,ICD9,mod_sev,closed fracture of base of skull with other and unspecified intracranial hemorrhage w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
80135,ICD9,mod_sev,closed fracture of base of skull with other and unspecified intracranial hemorrhage w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
80136,ICD9,mod_sev,closed fracture of base of skull with other and unspecified intracranial hemorrhage w/LOC of unspecified duration
80139,ICD9,mod_sev,closed fracture of base of skull with other and unspecified intracranial hemorrhage w/concussion unspecified
8014,ICD9,,closed fracture of base of skull with intracranial injury of other and unspecified nature
80140,ICD9,Mild,closed fracture of base of skull with intracranial injury of other and unspecified nature w/state of consciousness unspecified
80141,ICD9,Mild,closed fracture of base of skull with intracranial injury of other and unspecified nature w/o LOC
80142,ICD9,Mild,closed fracture of base of skull with intracranial injury of other and unspecified nature w/brief (<1 hr) LOC
80143,ICD9,mod_sev,closed fracture of base of skull with intracranial injury of other and unspecified nature w/moderate (1-24 hrs) LOC
80144,ICD9,mod_sev,closed fracture of base of skull with intracranial injury of other and unspecified nature w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
80145,ICD9,mod_sev,closed fracture of base of skull with intracranial injury of other and unspecified nature w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
80146,ICD9,Mild,closed fracture of base of skull with intracranial injury of other and unspecified nature w/LOC of unspecified duration
80146,ICD9,Mild,closed fracture of base of skull with intracranial injury of other and unspecified nature w/LOC of unspecified duration
80149,ICD9,Mild,closed fracture of base of skull with intracranial injury of other and unspecified nature w/concussion unspecified
8015,ICD9,,open fracture of base of skull w/o mention of intracranial injury
80150,ICD9,,open fracture of base of skull w/o mention of intracranial injury w/state of consciousness unspecified
80151,ICD9,,open fracture of base of skull w/o mention of intracranial injury w/o LOC
80152,ICD9,Mild,open fracture of base of skull w/o mention of intracranial injury w/brief (<1 hr) LOC
80153,ICD9,mod_sev,open fracture of base of skull w/o mention of intracranial injury w/moderate (1-24 hrs) LOC
80154,ICD9,mod_sev,open fracture of base of skull w/o mention of intracranial injury w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
80155,ICD9,mod_sev,open fracture of base of skull w/o mention of intracranial injury w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
80156,ICD9,Mild,open fracture of base of skull w/o mention of intracranial injury w/LOC of unspecified duration
80159,ICD9,Mild,open fracture of base of skull w/o mention of intracranial injury w/concussion unspecified
8016,ICD9,,open fracture of base of skull with cerebral laceration and contusion
80160,ICD9,mod_sev,open fracture of base of skull with cerebral laceration and contusion w/state of consciousness unspecified
80161,ICD9,mod_sev,open fracture of base of skull with cerebral laceration and contusion w/o LOC
80162,ICD9,mod_sev,open fracture of base of skull with cerebral laceration and contusion w/brief (<1 hr) LOC
80163,ICD9,mod_sev,open fracture of base of skull with cerebral laceration and contusion w/moderate (1-24 hrs) LOC
80164,ICD9,mod_sev,open fracture of base of skull with cerebral laceration and contusion w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
80165,ICD9,mod_sev,open fracture of base of skull with cerebral laceration and contusion w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
80166,ICD9,mod_sev,open fracture of base of skull with cerebral laceration and contusion w/LOC of unspecified duration
80169,ICD9,mod_sev,open fracture of base of skull with cerebral laceration and contusion w/concussion unspecified
8017,ICD9,,open fracture of base of skull with subarachnoid subdural and extradural hemorrhage
80170,ICD9,mod_sev,open fracture of base of skull with subarachnoid subdural and extradural hemorrhage w/state of consciousness unspecified
80171,ICD9,mod_sev,open fracture of base of skull with subarachnoid subdural and extradural hemorrhage w/o LOC
80172,ICD9,mod_sev,open fracture of base of skull with subarachnoid subdural and extradural hemorrhage w/brief (<1 hr) LOC
80173,ICD9,mod_sev,open fracture of base of skull with subarachnoid subdural and extradural hemorrhage w/moderate (1-24 hrs) LOC
80174,ICD9,mod_sev,open fracture of base of skull with subarachnoid subdural and extradural hemorrhage w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
80175,ICD9,mod_sev,open fracture of base of skull with subarachnoid subdural and extradural hemorrhage w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
80176,ICD9,mod_sev,open fracture of base of skull with subarachnoid subdural and extradural hemorrhage w/LOC of unspecified duration
80179,ICD9,mod_sev,open fracture of base of skull with subarachnoid subdural and extradural hemorrhage w/concussion unspecified
8018,ICD9,,open fracture of base of skull with other and unspecified intracranial hemorrhage
80180,ICD9,mod_sev,open fracture of base of skull with other and unspecified intracranial hemorrhage w/state of consciousness unspecified
80181,ICD9,mod_sev,open fracture of base of skull with other and unspecified intracranial hemorrhage w/o LOC
80182,ICD9,mod_sev,open fracture of base of skull with other and unspecified intracranial hemorrhage w/brief (<1 hr) LOC
80183,ICD9,mod_sev,open fracture of base of skull with other and unspecified intracranial hemorrhage w/moderate (1-24 hrs) LOC
80184,ICD9,mod_sev,open fracture of base of skull with other and unspecified intracranial hemorrhage w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
80185,ICD9,mod_sev,open fracture of base of skull with other and unspecified intracranial hemorrhage w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
80186,ICD9,mod_sev,open fracture of base of skull with other and unspecified intracranial hemorrhage w/LOC of unspecified duration
80189,ICD9,mod_sev,open fracture of base of skull with other and unspecified intracranial hemorrhage w/concussion unspecified
8019,ICD9,,open fracture of base of skull with intracranial injury of other and unspecified nature
80190,ICD9,Mild,open fracture of base of skull with intracranial injury of other and unspecified nature w/state of consciousness unspecified
80191,ICD9,Mild,open fracture of base of skull with intracranial injury of other and unspecified nature w/o LOC
80192,ICD9,Mild,open fracture of base of skull with intracranial injury of other and unspecified nature w/brief (<1 hr) LOC
80193,ICD9,mod_sev,open fracture of base of skull with intracranial injury of other and unspecified nature w/moderate (1-24 hrs) LOC
80194,ICD9,mod_sev,open fracture of base of skull with intracranial injury of other and unspecified nature w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
80195,ICD9,mod_sev,open fracture of base of skull with intracranial injury of other and unspecified nature w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
80196,ICD9,Mild,open fracture of base of skull with intracranial injury of other and unspecified nature w/LOC of unspecified duration
80199,ICD9,Mild,open fracture of base of skull with intracranial injury of other and unspecified nature w/concussion unspecified
8030,ICD9,,other closed skull fracture w/o mention of intracranial injury
80300,ICD9,,other closed skull fracture w/o mention of intracranial injury w/state of consciousness unspecified
80301,ICD9,,other closed skull fracture w/o mention of intracranial injury w/o LOC
80302,ICD9,Mild,other closed skull fracture w/o mention of intracranial injury w/brief (<1 hr) LOC
80303,ICD9,mod_sev,other closed skull fracture w/o mention of intracranial injury w/moderate (1-24 hrs) LOC
80304,ICD9,mod_sev,other closed skull fracture w/o mention of intracranial injury w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
80305,ICD9,mod_sev,other closed skull fracture w/o mention of intracranial injury w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
80306,ICD9,Mild,other closed skull fracture w/o mention of intracranial injury w/LOC of unspecified duration
80309,ICD9,Mild,other closed skull fracture w/o mention of intracranial injury w/concussion unspecified
8031,ICD9,,other closed skull fracture with cerebral laceration and contusion
80310,ICD9,mod_sev,other closed skull fracture with cerebral laceration and contusion w/state of consciousness unspecified
80311,ICD9,mod_sev,other closed skull fracture with cerebral laceration and contusion w/o LOC
80312,ICD9,mod_sev,other closed skull fracture with cerebral laceration and contusion w/brief (<1 hr) LOC
80313,ICD9,mod_sev,other closed skull fracture with cerebral laceration and contusion w/moderate (1-24 hrs) LOC
80314,ICD9,mod_sev,other closed skull fracture with cerebral laceration and contusion w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
80315,ICD9,mod_sev,other closed skull fracture with cerebral laceration and contusion w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
80316,ICD9,mod_sev,other closed skull fracture with cerebral laceration and contusion w/LOC of unspecified duration
80319,ICD9,mod_sev,other closed skull fracture with cerebral laceration and contusion w/concussion unspecified
8032,ICD9,,other closed skull fracture with subarachnoid subdural and extradural hemorrhage
80320,ICD9,mod_sev,other closed skull fracture with subarachnoid subdural and extradural hemorrhage w/state of consciousness unspecified
80321,ICD9,mod_sev,other closed skull fracture with subarachnoid subdural and extradural hemorrhage w/o LOC
80322,ICD9,mod_sev,other closed skull fracture with subarachnoid subdural and extradural hemorrhage w/brief (<1 hr) LOC
80323,ICD9,mod_sev,other closed skull fracture with subarachnoid subdural and extradural hemorrhage w/moderate (1-24 hrs) LOC
80324,ICD9,mod_sev,other closed skull fracture with subarachnoid subdural and extradural hemorrhage w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
80325,ICD9,mod_sev,other closed skull fracture with subarachnoid subdural and extradural hemorrhage w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
80326,ICD9,mod_sev,other closed skull fracture with subarachnoid subdural and extradural hemorrhage w/LOC of unspecified duration
80329,ICD9,mod_sev,other closed skull fracture with subarachnoid subdural and extradural hemorrhage w/concussion unspecified
8033,ICD9,,closed skull fracture with other and unspecified intracranial hemorrhage
80330,ICD9,mod_sev,closed skull fracture with other and unspecified intracranial hemorrhage w/state of Unconsciousness Unspecified
80331,ICD9,mod_sev,closed skull fracture with other and unspecified intracranial hemorrhage w/o LOC
80332,ICD9,mod_sev,closed skull fracture with other and unspecified intracranial hemorrhage w/brief (<1 hr) LOC
80333,ICD9,mod_sev,closed skull fracture with other and unspecified intracranial hemorrhage w/moderate (1-24 hrs) LOC
80334,ICD9,mod_sev,closed skull fracture with other and unspecified intracranial hemorrhage w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
80335,ICD9,mod_sev,closed skull fracture with other and unspecified intracranial hemorrhage w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
80336,ICD9,mod_sev,closed skull fracture with other and unspecified intracranial hemorrhage w/LOC of unspecified duration
80339,ICD9,mod_sev,closed skull fracture with other and unspecified intracranial hemorrhage w/concussion unspecified
8034,ICD9,,other closed skull fracture with intracranial injury of other and unspecified nature
80340,ICD9,Mild,other closed skull fracture with intracranial injury of other and unspecified nature w/state of consciousness unspecified
80341,ICD9,Mild,other closed skull fracture with intracranial injury of other and unspecified nature w/o LOC
80342,ICD9,Mild,other closed skull fracture with intracranial injury of other and unspecified nature w/brief (<1 hr) LOC
80343,ICD9,mod_sev,other closed skull fracture with intracranial injury of other and unspecified nature w/moderate (1-24 hrs) LOC
80344,ICD9,mod_sev,other closed skull fracture with intracranial injury of other and unspecified nature w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
80345,ICD9,mod_sev,other closed skull fracture with intracranial injury of other and unspecified nature w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
80346,ICD9,Mild,other closed skull fracture with intracranial injury of other and unspecified nature w/LOC of unspecified duration
80349,ICD9,Mild,other closed skull fracture with intracranial injury of other and unspecified nature w/concussion unspecified
8035,ICD9,,other open skull fracture w/o mention of intracranial injury
80350,ICD9,,other open skull fracture w/o mention of intracranial injury w/state of consciousness unspecified
80351,ICD9,,other open skull fracture w/o mention of intracranial injury w/o LOC
80352,ICD9,Mild,other open skull fracture w/o mention of intracranial injury w/brief (<1 hr) LOC
80353,ICD9,mod_sev,other open skull fracture w/o mention of intracranial injury w/moderate (1-24 hrs) LOC
80354,ICD9,mod_sev,other open skull fracture w/o mention of intracranial injury w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
80355,ICD9,mod_sev,other open skull fracture w/o mention of intracranial injury w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
80356,ICD9,Mild,other open skull fracture w/o mention of intracranial injury w/LOC of unspecified duration
80359,ICD9,Mild,other open skull fracture w/o mention of intracranial injury w/concussion unspecified
8036,ICD9,,other open skull fracture with cerebral laceration and contusion
80360,ICD9,mod_sev,other open skull fracture with cerebral laceration and contusion w/state of consciousness unspecified
80361,ICD9,mod_sev,other open skull fracture with cerebral laceration and contusion w/o LOC
80362,ICD9,mod_sev,other open skull fracture with cerebral laceration and contusion w/brief (<1 hr) LOC
80363,ICD9,mod_sev,other open skull fracture with cerebral laceration and contusion w/moderate (1-24 hrs) LOC
80364,ICD9,mod_sev,other open skull fracture with cerebral laceration and contusion w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
80365,ICD9,mod_sev,other open skull fracture with cerebral laceration and contusion w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
80366,ICD9,mod_sev,other open skull fracture with cerebral laceration and contusion w/LOC of unspecified duration
80369,ICD9,mod_sev,other open skull fracture with cerebral laceration and contusion w/concussion unspecified
8037,ICD9,,other open skull fracture with subarachnoid subdural and extradural hemorrhage
80370,ICD9,mod_sev,other open skull fracture with subarachnoid subdural and extradural hemorrhage w/state of consciousness unspecified
80371,ICD9,mod_sev,other open skull fracture with subarachnoid subdural and extradural hemorrhage w/o LOC
80372,ICD9,mod_sev,other open skull fracture with subarachnoid subdural and extradural hemorrhage w/brief (<1 hr) LOC
80373,ICD9,mod_sev,other open skull fracture with subarachnoid subdural and extradural hemorrhage w/moderate (1-24 hrs) LOC
80374,ICD9,mod_sev,other open skull fracture with subarachnoid subdural and extradural hemorrhage w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
80375,ICD9,mod_sev,other open skull fracture with subarachnoid subdural and extradural hemorrhage w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
80376,ICD9,mod_sev,other open skull fracture with subarachnoid subdural and extradural hemorrhage w/LOC of unspecified duration
80379,ICD9,mod_sev,other open skull fracture with subarachnoid subdural and extradural hemorrhage w/concussion unspecified
8038,ICD9,,other open skull fracture with other and unspecified intracranial hemorrhage
80380,ICD9,mod_sev,other open skull fracture with other and unspecified intracranial hemorrhage w/state of consciousness unspecified
80381,ICD9,mod_sev,other open skull fracture with other and unspecified intracranial hemorrhage w/o LOC
80382,ICD9,mod_sev,other open skull fracture with other and unspecified intracranial hemorrhage w/brief (<1 hr) LOC
80383,ICD9,mod_sev,other open skull fracture with other and unspecified intracranial hemorrhage w/moderate (1-24 hrs) LOC
80384,ICD9,mod_sev,other open skull fracture with other and unspecified intracranial hemorrhage w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
80385,ICD9,mod_sev,other open skull fracture with other and unspecified intracranial hemorrhage w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
80386,ICD9,mod_sev,other open skull fracture with other and unspecified intracranial hemorrhage w/LOC of unspecified duration
80389,ICD9,mod_sev,other open skull fracture with other and unspecified intracranial hemorrhage w/concussion unspecified
